unique_id,ds,y,unit_price
12 MACARON,2022-07-13,10.0,10.0
12 MACARON,2022-07-14,0.0,10.0
12 MACARON,2022-07-15,0.0,10.0
12 MACARON,2022-07-16,10.0,10.0
12 MACARON,2022-07-17,30.0,10.0
12 MACARON,2022-07-18,0.0,10.0
12 MACARON,2022-07-19,10.0,10.0
12 MACARON,2022-07-20,0.0,10.0
12 MACARON,2022-07-21,10.0,10.0
12 MACARON,2022-07-22,0.0,10.0
12 MACARON,2022-07-23,0.0,10.0
12 MACARON,2022-07-24,10.0,10.0
12 MACARON,2022-07-25,0.0,10.0
12 MACARON,2022-07-26,0.0,10.0
12 MACARON,2022-07-27,10.0,10.0
12 MACARON,2022-07-28,0.0,10.0
12 MACARON,2022-07-29,20.0,10.0
12 MACARON,2022-07-30,10.0,10.0
12 MACARON,2022-07-31,20.0,10.0
12 MACARON,2022-08-01,0.0,10.0
12 MACARON,2022-08-02,20.0,10.0
12 MACARON,2022-08-03,0.0,10.0
12 MACARON,2022-08-04,20.0,10.0
12 MACARON,2022-08-05,10.0,10.0
12 MACARON,2022-08-06,0.0,10.0
12 MACARON,2022-08-07,0.0,10.0
12 MACARON,2022-08-08,10.0,10.0
12 MACARON,2022-08-09,10.0,10.0
12 MACARON,2022-08-10,10.0,10.0
12 MACARON,2022-08-11,30.0,10.0
12 MACARON,2022-08-12,10.0,10.0
12 MACARON,2022-08-13,20.0,10.0
12 MACARON,2022-08-14,20.0,10.0
12 MACARON,2022-08-15,10.0,10.0
12 MACARON,2022-08-16,0.0,10.0
12 MACARON,2022-08-17,30.0,10.0
12 MACARON,2022-08-18,20.0,10.0
12 MACARON,2022-08-19,10.0,10.0
12 MACARON,2022-08-20,20.0,10.0
12 MACARON,2022-08-21,50.0,10.0
12 MACARON,2022-08-22,30.0,10.0
12 MACARON,2022-08-23,0.0,10.0
12 MACARON,2022-08-24,20.0,10.0
12 MACARON,2022-08-25,20.0,10.0
12 MACARON,2022-08-26,0.0,10.0
12 MACARON,2022-08-27,20.0,10.0
12 MACARON,2022-08-28,50.0,10.0
12 MACARON,2022-08-29,10.0,10.0
12 MACARON,2022-08-30,20.0,10.0
12 MACARON,2022-08-31,0.0,10.0
12 MACARON,2022-09-01,0.0,10.0
12 MACARON,2022-09-02,10.0,10.0
12 MACARON,2022-09-03,0.0,10.0
12 MACARON,2022-09-04,10.0,10.0
12 MACARON,2022-09-05,0.0,10.0
